baitID	preyID	N
53559	52096	1
53559	52107	1
53559	52112	1
53559	52113	1
53559	52121	1
53559	52125	1
53559	52144	1
53559	52145	1
53559	52148	1
53559	52160	1
53559	52168	1
53559	52169	1
53559	52170	1
53559	52183	1
53559	52186	1
53559	52191	1
53559	52214	1
53559	52225	1
53559	52237	1
53559	52241	1
53559	52248	1
53559	52249	1
53559	52254	1
53559	52256	1
53559	52257	1
53559	52263	1
53559	52266	1
53559	52267	1
53559	52275	1
53559	52284	1
53559	52287	1
53559	52291	1
53559	52295	1
53559	52310	1
53559	52313	1
53559	52318	1
53559	52327	1
53559	52330	1
53559	52333	1
53559	52350	1
53559	52351	1
53559	52355	1
53559	52360	1
53559	52363	1
53559	52367	1
53559	52368	1
53559	52375	1
53559	52380	1
53559	52385	1
53559	52388	1
53559	52389	1
53559	52394	1
53559	52405	1
53559	52413	1
53559	52416	1
53559	52431	1
53559	52435	1
53559	52436	1
53559	52454	1
53559	52460	1
53559	52475	1
53559	52477	1
53559	52483	1
53559	52507	1
53559	52527	1
53559	52531	1
53559	52540	1
53559	52558	1
53559	52604	1
53559	52606	1
53559	52607	1
53559	52614	1
53559	52623	1
53559	52632	1
53559	52638	1
53559	52652	1
53559	52666	1
53559	52670	1
53559	52686	1
53559	52699	1
53559	52700	1
53559	52708	1
53559	52718	1
53559	52723	1
53559	52732	1
53559	52739	1
53559	52760	1
53559	52763	1
53559	52765	1
53559	52768	1
53559	52769	2
53559	52780	1
53559	52790	1
53559	52793	1
53559	52797	1
53559	52808	1
53559	52812	1
53559	52813	1
53559	52815	1
53559	52817	1
53559	52819	1
53559	52822	1
53559	52823	1
53559	52826	1
53559	52829	1
53559	52834	1
53559	52835	1
53559	52836	1
53559	52837	1
53559	52839	1
53559	52841	1
53559	52842	1
53559	52844	1
53559	52848	1
53559	52849	1
53559	52850	1
53559	52853	1
53559	52854	1
53559	52856	1
53559	52859	1
53559	52864	1
53559	52867	1
53559	52871	1
53559	52876	1
53559	52883	1
53559	52895	1
53559	52896	1
53559	52898	1
53559	52900	1
53559	52902	1
53559	52905	1
53559	52909	1
53559	52911	1
53559	52913	1
53559	52914	1
53559	52917	1
53559	52922	1
53559	52923	1
53559	52928	1
53559	52935	1
53559	52943	1
53559	52948	1
53559	52953	1
53559	52955	1
53559	52956	1
53559	52970	1
53559	52975	1
53559	52984	1
53559	52987	1
53559	52988	1
53559	52990	1
53559	52998	1
53559	53003	1
53559	53004	1
53559	53012	1
53559	53019	1
53559	53021	1
53559	53028	1
53559	53030	1
53559	53032	1
53559	53037	1
53559	53041	1
53559	53046	1
53559	53047	1
53559	53048	1
53559	53049	1
53559	53050	1
53559	53059	2
53559	53062	1
53559	53064	1
53559	53066	1
53559	53069	1
53559	53071	1
53559	53073	1
53559	53076	1
53559	53077	1
53559	53078	1
53559	53079	1
53559	53084	1
53559	53087	1
53559	53094	1
53559	53095	1
53559	53098	1
53559	53099	1
53559	53100	1
53559	53103	1
53559	53104	1
53559	53107	1
53559	53112	1
53559	53124	1
53559	53125	1
53559	53126	2
53559	53128	1
53559	53139	1
53559	53141	1
53559	53144	1
53559	53145	1
53559	53149	1
53559	53154	1
53559	53159	1
53559	53160	1
53559	53166	1
53559	53169	1
53559	53170	1
53559	53176	2
53559	53178	1
53559	53181	1
53559	53185	1
53559	53197	1
53559	53198	1
53559	53204	1
53559	53209	1
53559	53210	1
53559	53211	1
53559	53222	1
53559	53224	1
53559	53235	1
53559	53239	1
53559	53241	1
53559	53244	2
53559	53247	1
53559	53248	1
53559	53249	1
53559	53254	1
53559	53255	1
53559	53257	1
53559	53258	1
53559	53264	1
53559	53271	1
53559	53277	1
53559	53289	2
53559	53296	1
53559	53297	1
53559	53298	1
53559	53299	1
53559	53300	1
53559	53302	1
53559	53304	1
53559	53305	1
53559	53307	1
53559	53308	1
53559	53313	1
53559	53315	1
53559	53316	1
53559	53317	1
53559	53319	1
53559	53325	1
53559	53328	1
53559	53333	1
53559	53334	1
53559	53336	1
53559	53337	1
53559	53341	1
53559	53342	1
53559	53344	1
53559	53345	1
53559	53346	1
53559	53347	1
53559	53350	1
53559	53351	1
53559	53353	1
53559	53354	1
53559	53356	1
53559	53357	1
53559	53358	1
53559	53359	1
53559	53360	1
53559	53362	1
53559	53364	1
53559	53366	1
53559	53370	1
53559	53372	1
53559	53374	1
53559	53375	1
53559	53376	1
53559	53381	1
53559	53382	1
53559	53383	2
53559	53384	1
53559	53385	2
53559	53386	1
53559	53387	2
53559	53388	1
53559	53389	1
53559	53390	1
53559	53392	2
53559	53394	2
53559	53397	1
53559	53398	1
53559	53399	1
53559	53400	1
53559	53401	1
53559	53402	1
53559	53404	1
53559	53405	1
53559	53406	1
53559	53407	2
53559	53408	1
53559	53410	2
53559	53411	1
53559	53413	2
53559	53414	1
53559	53415	1
53559	53417	1
53559	53418	2
53559	53419	1
53559	53420	1
53559	53421	3
53559	53422	1
53559	53424	1
53559	53425	1
53559	53426	3
53559	53427	2
53559	53428	1
53559	53429	1
53559	53430	1
53559	53431	1
53559	53432	3
53559	53433	1
53559	53436	1
53559	53437	2
53559	53438	1
53559	53439	3
53559	53440	3
53559	53441	2
53559	53442	2
53559	53443	1
53559	53445	1
53559	53446	1
53559	53447	1
53559	53448	1
53559	53449	1
53559	53450	2
53559	53451	1
53559	53452	2
53559	53453	1
53559	53455	2
53559	53456	1
53559	53457	1
53559	53458	1
53559	53459	1
53559	53460	1
53559	53461	3
53559	53462	1
53559	53463	1
53559	53464	2
53559	53465	1
53559	53466	1
53559	53467	2
53559	53468	2
53559	53469	2
53559	53470	2
53559	53471	1
53559	53472	1
53559	53473	2
53559	53474	1
53559	53475	1
53559	53477	2
53559	53479	1
53559	53482	2
53559	53483	1
53559	53484	1
53559	53485	2
53559	53486	2
53559	53487	1
53559	53488	3
53559	53489	1
53559	53491	2
53559	53492	2
53559	53493	2
53559	53494	1
53559	53495	1
53559	53496	1
53559	53498	1
53559	53499	1
53559	53500	1
53559	53502	1
53559	53503	1
53559	53504	4
53559	53505	2
53559	53506	1
53559	53507	1
53559	53508	2
53559	53509	2
53559	53510	1
53559	53511	2
53559	53512	2
53559	53513	1
53559	53514	2
53559	53515	2
53559	53516	2
53559	53517	2
53559	53518	1
53559	53519	2
53559	53520	2
53559	53521	1
53559	53522	3
53559	53523	2
53559	53524	2
53559	53525	5
53559	53526	4
53559	53527	3
53559	53528	3
53559	53529	1
53559	53530	2
53559	53531	1
53559	53533	5
53559	53534	8
53559	53535	6
53559	53536	9
53559	53537	7
53559	53538	8
53559	53539	10
53559	53540	6
53559	53541	15
53559	53543	9
53559	53544	7
53559	53545	5
53559	53546	11
53559	53547	9
53559	53548	11
53559	53549	13
53559	53550	13
53559	53551	19
53559	53552	16
53559	53553	16
53559	53554	16
53559	53556	36
53559	53557	229
53559	53561	141
53559	53562	42
53559	53563	54
53559	53565	48
53559	53566	25
53559	53567	17
53559	53568	14
53559	53569	7
53559	53570	6
53559	53571	13
53559	53572	9
53559	53573	15
53559	53574	15
53559	53575	12
53559	53576	11
53559	53577	7
53559	53578	17
53559	53579	10
53559	53580	12
53559	53581	14
53559	53582	11
53559	53583	14
53559	53584	11
53559	53585	4
53559	53586	5
53559	53587	12
53559	53588	13
53559	53589	4
53559	53590	6
53559	53591	5
53559	53592	11
53559	53593	8
53559	53594	6
53559	53595	3
53559	53596	5
53559	53597	4
53559	53598	7
53559	53599	3
53559	53600	4
53559	53602	4
53559	53603	3
53559	53605	3
53559	53606	6
53559	53607	6
53559	53608	2
53559	53609	4
53559	53610	4
53559	53611	3
53559	53612	5
53559	53613	4
53559	53614	5
53559	53615	5
